price,sold,tagText,has_discount_words,adjustable,bed,bedroom,bedside,bench,black,cabinet,cabinets,chair,chairs,charging,chest,closet,clothes,coffee,computer,conversation,couch,cushions,desk,dining,door,drawer,drawers,dresser,dressers,dressing,end,entryway,fabric,folding,frame,furniture,gaming,garden,glass,hanging,headboard,home,household,inch,kitchen,large,leather,led,legs,light,lights,living,lounge,makeup,metal,mirror,modern,nightstand,office,organizer,ottoman,outdoor,patio,piece,pieces,platform,portable,power,rack,rattan,room,round,seat,sectional,set,sets,shaped,shelf,shelves,shoe,shoes,simple,size,small,sofa,space,stand,station,steel,stool,storage,swing,table,tables,tv,upholstered,vanity,velvet,wardrobe,white,wicker,wood,wooden
46.79,600,99,0,0.0,0.0,0.20994383803789013,0.0,0.0,0.0,0.2695531687991394,0.0,0.0,0.0,0.0,0.0,0.31507220262734303,0.37797655085527093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2335022680442212,0.28195240535757216,0.0,0.0,0.0,0.0,0.3120663687516576,0.0,0.30746481360387806,0.184184553715569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3661417599556658,0.0,0.19116722384173854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33265412117415266,0.0,0.0,0.0,0.0
169.72,0,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24297983644522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32483114252833106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1861406355909783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25406456227353336,0.5281481743847659,0.0,0.3432911218597584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43961708973493013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2369480508121401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30008588283850185,0.0,0.0
39.46,7,99,0,0.0,0.0,0.22479851089251346,0.0,0.0,0.0,0.2886255272777703,0.0,0.0,0.0,0.0,0.36285081941982134,0.33736528128759924,0.40472045561641296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500238284530743,0.0,0.0,0.0,0.0,0.0,0.33414676825306855,0.0,0.0,0.19721661655623113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23633301249924718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112869944079127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2217512414149174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20469334871987413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.99,0,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5096659962172687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338607072137418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19522103945522234,0.0,0.0,0.0,0.0,0.0,0.28195746125422105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339416280601908,0.4076077904715912,0.0,0.0,0.0,0.2411692826663921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21950740564075633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24850696694772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34496365888073394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.37,1,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26976672500165677,0.0,0.0,0.0,0.20321296300687414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14731801298344108,0.0,0.0,0.0,0.0,0.0,0.21277119030684608,0.3003204955067443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23364278143183298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654724360021166,0.0,0.46653766849630685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863085417537493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5514247805033974
123.4,53,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2604914509920454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19955583542672756,0.0,0.0,0.35880468333238796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27237505564463693,0.28310596940274213,0.0,0.36803219458128306,0.0,0.0,0.0,0.0,0.3325196513338784,0.0,0.0,0.0,0.0,0.4713003978491442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19391566272991892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3217131437178069,0.0,0.0
198.31,1,99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818984265795846,0.0,0.29522710955165127,0.2934331468084576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16917639542778384,0.0,0.0,0.3041819491721603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4618199214256609,0.24000725072873297,0.30086640392663344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793829781791856,0.3995518462354102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643948560436016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734.58,5,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29139593682969733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2232309712758285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26750711398452187,0.0,0.0,0.0,0.0,0.27577177829678523,0.0,0.0,0.0,0.0,0.0,0.0,0.39699805284879597,0.0,0.0,0.0,0.0,0.0,0.0,0.25100189764465725,0.0,0.0,0.0,0.26360753958803473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28416225912614235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944583680206904,0.0,0.437266825402137,0.0,0.0,0.0,0.0,0.0
43.96,3,100,0,0.0,0.0,0.1926007526570374,0.0,0.0,0.0,0.2472858631003688,0.0,0.0,0.0,0.0,0.31087991039182533,0.28904465086698533,0.34675258327085395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142130628493404,0.25866082087881914,0.0,0.0,0.0,0.0,0.2862871235576363,0.0,0.0,0.16896939679180703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26670154164845783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28414826291274686,0.0,0.0,0.0,0.35075048202777165,0.0,0.0,0.0,0.3211303319600765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233.3,0,99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24657223425872235,0.0,0.0,0.25666147729881983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2959520016525467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6059202133519086,0.4198613292633602,0.0,0.27290573694825176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2443720100865814,0.1747409388265053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437936615934538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23855891920579284,0.0,0.0
